Date,Open,High,Low,Close,Volume
2201-05-04,386.635811681748,394.340738439965,381.52814838372063,382.4750853136795,2375858
2201-05-11,365.9550906687478,372.3218643145613,359.4584499576814,366.30867329311775,3157636
2201-05-26,186.7229818597413,188.75004413301824,187.75385681382105,188.30772337084775,604421
2201-05-29,428.37010925773217,453.8662174791452,417.68156163019785,433.467049853463,445911
2201-06-12,348.3194460275823,347.5212057056604,341.766509636308,346.3650079737269,585451
2201-06-29,314.8121612005229,314.8779976174943,303.4320573801287,311.6164099445791,583645
2201-07-02,208.98381035824133,215.1230033789324,199.34788958135,206.80352617588068,3733182
2201-07-03,359.223950734351,362.1599018647542,337.460815259674,353.6684271812548,594461
2201-07-03,448.63755984979525,458.6453513339426,425.8131976232501,447.9669731404789,4586594
2201-07-09,329.8408241658836,348.1739184039737,317.8661950746881,333.21077699504275,4993687
2201-07-13,341.25820647384165,349.74814945383264,330.3476320702597,334.7404379603323,3362547
2201-07-16,228.18795616353097,237.24899976541573,226.37424834114145,232.03828502670592,151073
2201-07-20,250.87406977937772,260.0676702957186,247.4218090500952,254.1009508176053,3476965
2201-07-24,116.12890462683568,118.46646947800885,113.88468488959263,114.09421771017426,4381782
2201-07-28,148.74893557764014,154.97989393174691,147.5666250870872,151.21699921260748,724529
2201-08-12,76.53494602935743,79.61786488901262,75.91148171130621,76.27599123791067,2770630
2201-08-13,347.0175057710832,352.4125043970436,343.5932887026874,351.0868378832216,3874980
2201-09-01,211.00819628734783,222.7716078369518,212.20850674066816,214.9860302962077,3579882
2201-09-17,414.6485033810124,416.2230200684488,397.1447036318435,408.38330554190463,3933393
2201-09-18,313.3588313806299,312.5052402536063,301.5904254488105,311.2222602783812,4585799
2201-09-24,316.9443050368925,327.6506941151084,305.9719349303093,317.42362253521026,1625025
2201-09-28,267.38602693556953,284.65435584488364,271.4327986967881,271.8932690416572,3971430
2201-10-05,436.7667801504259,434.3804769363683,425.2566691628569,434.0663125075875,506662
2201-10-29,391.0577031046067,406.3517499175914,376.57521656280665,393.4527187141467,1954885
2201-11-09,409.1808290415583,407.7071223047723,384.5392349127286,402.53260088963833,4823252
2201-11-25,462.2685278396337,479.3788397393405,452.3826187866438,468.2054531728325,1975554
2201-12-02,152.43861400549395,152.43604711186245,144.5569438043931,149.92907941692582,2729770
2201-12-11,251.29264578608252,258.87262812012415,246.67848192017425,249.306981567606,725752
2201-12-22,96.6278959826698,100.41236291082564,92.59983271737909,96.55616597459952,350368
2201-12-29,484.562249626751,477.6146700320097,469.4851496265873,477.05389804870697,236091
2201-12-30,482.7516270301736,486.0541198806654,472.1822747428734,479.4096022891538,1696999
2202-01-15,102.37790518553255,107.03974739150463,97.4785091776657,102.41754534489117,3287343
2202-01-20,167.35735627998352,171.526810271935,166.14746122902767,167.04028719270218,1782619
2202-01-29,419.6977127649936,422.4551364630017,393.33162084121375,412.0601877053017,2896757
2202-02-02,117.15245295021226,122.00362773543544,111.68064792504366,116.54596429864463,2952754
2202-02-04,201.00217897154107,205.07695044727197,193.2823191764053,198.80614374180877,4676055
2202-02-05,116.19088748223292,117.24443481663904,115.75104056160768,116.6432654904588,3304458
2202-02-15,408.7187888645993,415.4630145647111,397.66185615387576,402.0379473487171,964563
2202-02-22,417.54197867507537,431.4344611221698,407.0526564128484,419.6920099027482,3997799
2202-02-22,90.98009524410466,95.7752847238166,88.15930951802581,92.22477833599784,1257986
2202-02-24,231.18850182660276,235.4524648161095,233.92483192094312,234.87520916041777,1087562
2202-03-05,75.01117386132431,78.21223372936163,74.01817778728734,74.59022443334668,228772
2202-03-08,307.5046074011069,314.38005110271456,294.5863108585018,307.5490497057217,838134
2202-03-11,250.9274477794857,260.8166146136656,249.7736208683147,254.200168455794,326904
2202-03-17,78.48945489255325,80.88230906368533,77.25341649980065,78.84216397601512,2777592
2202-03-17,251.1776376368101,256.4514903233966,242.38208484710503,252.17564509944432,3830718
2202-03-22,474.5678055225446,496.1618276898667,453.0224582756515,472.7464018102136,2195452
2202-03-26,154.7132170789989,157.76638734573504,150.5294547543696,152.82269763741428,1347647
2202-03-30,78.61246147018711,83.31598950945718,76.85989001944662,79.50025280992391,3539007
2202-04-01,340.95615514857667,356.3706004120052,330.42703574127773,345.62005271823585,827501
2202-04-13,387.1304684042527,398.9364637618915,377.6519781709107,393.1678673615019,2683992
2202-04-14,449.973960352508,463.23140340051503,441.9267107677013,459.0743586144336,1366912
2202-04-15,428.8043436433923,445.8255993949337,417.5190781513152,434.5626276874755,486529
2202-04-23,128.10633504157184,130.2824346722821,123.09062496567785,126.2597759383544,1459231
2202-04-26,199.5631522557214,205.33345949068604,199.9701176820399,201.38158835365488,3466263
2202-04-27,139.5665367885266,139.80984882144983,137.39546300642735,138.22995273708494,3768772
2202-04-27,203.5484344542644,213.68715514497347,198.50061278632316,207.621559039329,1456942
2202-05-05,492.8356433324831,509.8403777313253,481.3417047526681,495.8160640819386,815753
2202-05-05,360.9043223810336,368.9828240349836,343.8609828178892,358.65965197789825,653015
2202-06-04,452.0596950602673,456.613917628078,449.7456152985231,452.5518237560369,3613787
2202-06-07,173.1336850501361,177.97386050576125,171.51995777194307,174.04704100612395,4519454
2202-06-08,341.1157625101747,341.7695498185488,323.3920983654252,337.79957868764706,602115
2202-06-18,227.19477152886384,227.8950176929428,220.71945188878655,223.84473667941603,3509854
2202-06-21,475.3458853134008,483.1392012214551,450.0601941508324,471.93346439371226,3676038
2202-07-06,344.32434355108194,358.6397772927352,339.49554550031826,348.8554024795072,4058036
2202-07-14,247.33637228976855,245.02881291585388,237.7514002647098,244.3631245951325,794701
2202-07-19,313.49922767456854,319.7639285155575,301.1337064795474,315.7549875480875,1151962
2202-07-27,342.2866446743548,343.2417380068108,327.8597729526559,336.11672862026217,944325
2202-07-27,462.8257061502597,471.8251790288306,440.1991740902863,461.541023950864,3545869
2202-07-27,90.59609921608612,92.88005558630512,87.29181305325513,91.87205038456236,4118693
2202-08-05,149.0968092003411,151.97753418238153,145.04564029927286,150.8230423233246,4024917
2202-08-09,167.68670016802204,167.15981521928174,165.94828635633917,166.39582629894988,4876258
2202-08-09,218.58881589423163,222.63743409734963,213.06841577272212,218.8060579514352,4151128
2202-08-09,167.7314546539577,167.66652911962507,160.80651033109996,167.58657017602064,2264767
2202-08-10,175.7861024891864,183.4042321448843,171.7198328122613,177.48373770401676,2568376
2202-08-11,114.80031747088414,117.50738589415438,108.92766911828237,113.10899936490549,2530321
2202-08-13,450.9518237171,476.4938737725929,459.8201121000247,459.8405166346309,2910301
2202-08-20,457.90170262826615,473.5448061037861,440.005971852598,460.97191798469714,4370457
2202-08-24,407.11818541305627,420.64614455544,405.9228411993048,410.8376843051751,3270408
2202-08-26,254.61861401312387,268.12359611998727,255.2235744710812,256.1364290991192,4943785
2202-08-27,141.59734668234154,144.0766635075649,139.18383342709072,140.78183043740012,4525930
2202-08-31,83.10230276039707,84.79584929406926,80.81609382192083,84.01234180069754,4567178
2202-08-31,395.8021596850456,409.79677024197935,395.1922843532722,399.955735001796,1603194
2202-09-01,217.37819267790863,229.83061347997744,217.11162565231487,219.7626606875437,1046007
2202-09-23,157.494533388193,158.00188098772617,152.3180982906146,157.67214954311186,2107664
2202-09-27,263.01367021534395,271.27797431648906,257.7167031510809,265.34884594618006,3286324
2202-10-04,476.7229783021698,494.8797561369358,481.4166399056016,482.5005257892233,1531951
2202-10-12,429.5661737435748,441.4087671082264,432.7778151462541,437.8433870338616,2033161
2202-10-21,74.44747032819014,75.37622844111469,73.02663830800073,74.0327737290468,1706553
2202-10-27,246.12984659845628,254.03503500616267,244.46036735094185,245.58095426141853,3958222
2202-11-04,399.34072369668166,404.3880914819669,389.175339015293,402.1825160408708,1428867
2202-11-05,269.30028559449795,286.3851612340515,273.76588983858966,274.6411728028676,1655532
2202-11-10,410.8287812002111,416.6681021225816,394.9079603332359,404.4612247585706,1141426
2202-11-10,424.36673875391926,434.98594603540033,404.0489256934247,417.81352807838624,1951742
2202-11-30,290.76952956784925,299.15236544293674,273.54818468184885,285.09555126537253,3410254
2202-12-06,265.50967174303594,269.36918260107234,255.39976205532912,264.715024665025,3547078
2202-12-07,357.0176417253157,361.5497802519246,336.287627414295,350.8279202192579,1129831
2202-12-16,296.682168127344,303.1129343240317,288.59574142192287,296.3902610315256,1351858
2202-12-27,400.4879090832479,400.0745474968136,394.1567442514878,399.3779018508363,2980721
2202-12-27,407.856185965244,419.0196831979294,406.4731189288744,413.1584224658768,3839273
